,key,latitude,longitude,confirmed_sum,death_sum,recovered_sum,incidence_rate_avg,active_sum,Case-Fatality_Ratio
647,"Unknown, Luxembourg",49.8153,6.1296,7718,124,6703,1232.9546180684245,891,1.6066338429644986
648,"Unknown, Maldives",3.2028,73.2207,9649,33,8188,1785.0601803375132,1428,0.34200435278267177
649,"Unknown, Moldova",47.4116,28.3699,46336,1201,34236,1148.647124428261,10899,2.5919371546961325
650,"Unknown, Monaco",43.7333,7.4167,192,1,152,489.24676383650996,39,0.5208333333333333
651,"Unknown, Montenegro",42.708678000000006,19.37439,7898,134,5129,1257.5191621209372,2635,1.6966320587490504
652,"Unknown, Morocco",31.7917,-7.0926,99816,1795,79008,270.4266892957836,19013,1.7983088883545724
653,"Unknown, Nepal",28.1667,84.25,62797,401,45267,215.5246381140996,17129,0.6385655365702183
654,"Unknown, Niger",17.607789,8.081666,1183,69,1104,4.887089639386488,10,5.832628909551986
655,"Unknown, Norway",60.472,8.4689,12858,267,10371,237.178122651599,2220,2.0765282314512366
656,"Unknown, Romania",45.9432,24.9668,111550,4402,89119,579.851564237313,18029,3.9462124607799196
657,"Unknown, Saint Vincent and the Grenadines",12.9843,-61.2872,64,0,64,57.68520104193895,0,0.0
658,"Unknown, San Marino",43.9424,12.4578,723,42,669,2130.355353880606,12,5.809128630705394
659,"Unknown, Senegal",14.4974,-14.4524,14688,302,11153,87.72134140551232,3233,2.0561002178649237
660,"Unknown, Seychelles",-4.6796,55.492,141,0,136,143.38010982306284,5,0.0
661,"Unknown, Singapore",1.2833,103.8333,57558,27,57142,983.8397509342616,389,0.04690920462837486
662,"Unknown, Slovenia",46.1512,14.9955,4309,141,2981,207.2698866533393,1187,3.2722209329310745
663,"Unknown, Taiwan*",23.7,121.0,506,7,479,2.12455296739378,20,1.383399209486166
664,"Unknown, Trinidad and Tobago",10.6918,-61.2225,3853,61,1695,275.31438215751297,2097,1.5831819361536463
665,"Unknown, Turkey",38.9637,35.2433,301348,7445,266117,357.30535174167863,27786,2.470565591940215
666,"Unknown, Western Sahara",24.2155,-12.8858,10,1,8,1.674116485025028,1,10.0
667,"Uppsala, Sweden",60.0092,17.2715,3919,243,0,1021.3362591311735,3676,6.20056136769584
668,"Utah, US",40.014400114615384,-111.46087804615384,62852,440,0,1710.0988273242028,62412,0.7000572774136066
669,"Utrecht, Netherlands",52.084251,5.163824,7260,437,0,535.8590056051147,6823,6.019283746556474
670,"Uttar Pradesh, India",26.925425,80.560982,342788,4869,270094,144.09957679776872,67825,1.4204114496423446
671,"Uttarakhand, India",30.156447,79.197608,38007,464,26250,337.81423603426515,11293,1.2208277422580052
672,"Valle d'Aosta, Italy",45.73750286,7.320149366,1276,146,1082,1015.3900020689764,48,11.442006269592477
673,"Valle del Cauca, Colombia",3.8009,-76.6413,56837,2092,47119,1269.8491427172185,7626,3.6807009518447487
674,"Vallée du Bandama, Cote d'Ivoire",7.54,-5.5471,19269,120,18392,73.04874939699431,757,0.6227619492449011
675,"Valparaiso, Chile",-33.0472,-71.6127,26095,823,24120,1437.026888014882,1152,3.153860892891359
676,"Vardar Region, North Macedonia",41.6086,21.7453,16557,689,13792,794.7181983123578,2076,4.161381892854986
677,"Varmland, Sweden",59.7294,13.2354,1241,73,0,439.42580750246094,1168,5.88235294117647
678,"Vasterbotten, Sweden",65.3337,16.5162,905,31,0,333.04383666499837,874,3.4254143646408837
679,"Vasternorrland, Sweden",63.4276,17.7292,1881,136,0,766.6692480446063,1745,7.230196703880915
680,"Vastmanland, Sweden",59.6714,16.2159,2854,183,0,1034.6390182892567,2671,6.412053258584442
681,"Vastra Gotaland, Sweden",58.2528,13.0596,19514,860,0,1130.6689163389594,18654,4.407092343958184
682,"Vaupes, Colombia",0.8554,-70.812,679,5,457,1664.3380640733387,217,0.7363770250368188
683,"Veneto, Italy",45.43490485,12.33845213,25609,2158,20406,522.0090120904537,3045,8.426724979499395
684,"Veracruz, Mexico",19.1738,-96.1342,31680,4046,26543,370.9661818891218,1091,12.771464646464647
685,"Vermont, US",44.159495798571434,-72.68438070571429,1702,58,0,203.1334458755762,1644,3.4077555816686247
686,"Vichada, Colombia",4.4234,-69.2878,397,4,221,368.24725437815374,172,1.0075566750629723
687,"Victoria, Australia",-37.8136,144.9631,20042,761,18379,302.2971688864085,902,3.79702624488574
688,"Vinnytsia Oblast, Ukraine",49.2331,28.4682,5200,98,3461,333.24916655665174,1641,1.8846153846153846
689,"Virgin Islands, US",18.3358,-64.8963,1257,19,0,1171.831301040385,1238,1.511535401750199
690,"Virginia, US",37.56615032526316,-78.51371173503755,139546,2988,0,1552.5389847999609,136558,2.1412294153899074
691,"Vladimir Oblast, Russia",56.0503336,40.6561633,6906,201,5774,501.03857039316216,931,2.9105125977410946
692,"Volgograd Oblast, Russia",49.6048339,44.29035820000001,13965,130,12334,553.8862068254329,1501,0.9308986752595776
693,"Vologda Oblast, Russia",60.0391461,43.1215213,4124,45,3523,350.47493432844186,556,1.0911736178467508
694,"Volyn Oblast, Ukraine",50.7472,25.3254,6783,143,4774,655.1534293413695,1866,2.1082117057349254
695,"Voronezh Oblast, Russia",50.9800393,40.15065070000001,16256,153,15125,696.5559558619368,978,0.9411909448818898
696,"Wakayama, Japan",33.911879,135.505446,236,5,227,25.515361653222453,4,2.11864406779661
